date,gdp,inflation,policy_rate,real_rate
2025-07-01,2.5295442752922956,203.106960722799,0.8200371574114789,-11.965319504961684
2025-08-01,2.762655006214503,203.90222785827052,1.675076227094341,-12.583592727503238
2025-09-01,2.802870730284044,204.69994472795142,1.7315734783014378,-12.613683959488094
2025-10-01,2.8129117405375537,205.50067967157725,1.738062601595845,-12.656946576962634
2025-11-01,2.823761115266225,206.30454242068035,1.7444208004347017,-12.706128553405962
2025-12-01,2.834792804642983,207.1115500103802,1.7512154783909042,-12.755842288370117
2026-01-01,2.845882104315476,207.92171445226825,1.7580659754109842,-12.805742962907107
2026-02-01,2.857014518814451,208.73504804108,1.764943288336633,-12.855835755650256
2026-03-01,2.8681903951722116,209.55156317103132,1.7718472861697223,-12.906124306984815
2026-04-01,2.8794099811667495,210.37127228760443,1.778778274065041,-12.956609577644388
2026-05-01,2.8906734552501083,211.19418788484197,1.7857363741109133,-13.007292334710566
2026-06-01,2.901980989050574,212.0203225056317,1.7927216924811895,-13.058173349139603
